gene	species
GUT_GENOME126364_00943	100003
GUT_GENOME126364_01007	100003
GUT_GENOME126364_01420	100003
GUT_GENOME126364_01689	100003
GUT_GENOME126364_02049	100003
GUT_GENOME126437_00061	100003
GUT_GENOME126437_01136	100003
GUT_GENOME126437_01588	100003
GUT_GENOME126478_00001	100003
GUT_GENOME126478_00028	100003
GUT_GENOME126478_00029	100003
GUT_GENOME126478_00047	100003
GUT_GENOME126478_00204	100003
GUT_GENOME126478_00408	100003
GUT_GENOME126478_01769	100003
GUT_GENOME126478_01945	100003
GUT_GENOME127371_00062	100003
GUT_GENOME127371_00176	100003
GUT_GENOME127371_00770	100003
GUT_GENOME127371_01125	100003
GUT_GENOME127549_00129	100003
GUT_GENOME128981_02073	100003
GUT_GENOME129171_00403	100003
GUT_GENOME129171_01629	100003
GUT_GENOME129171_01665	100003
GUT_GENOME129483_01476	100003
GUT_GENOME129483_02225	100003
GUT_GENOME129618_01511	100003
GUT_GENOME130061_01109	100003
GUT_GENOME131499_00273	100003
GUT_GENOME131499_01398	100003
GUT_GENOME131499_01859	100003
GUT_GENOME131539_00050	100003
GUT_GENOME131951_00798	100003
GUT_GENOME131984_02091	100003
GUT_GENOME132003_00130	100003
GUT_GENOME132003_00426	100003
GUT_GENOME132003_01470	100003
GUT_GENOME132003_01974	100003
GUT_GENOME132139_00249	100003
GUT_GENOME135378_00685	100003
GUT_GENOME137907_00765	100003
GUT_GENOME137907_01702	100003
GUT_GENOME138821_00795	100003
GUT_GENOME138892_00086	100003
GUT_GENOME138892_00087	100003
GUT_GENOME138892_00235	100003
GUT_GENOME138892_00704	100003
GUT_GENOME138892_01563	100003
GUT_GENOME148049_00931	100003
GUT_GENOME148722_00497	100003
GUT_GENOME148722_01125	100003
GUT_GENOME148756_00279	100003
GUT_GENOME148756_00743	100003
GUT_GENOME149345_00493	100003
GUT_GENOME149345_01259	100003
GUT_GENOME149345_01534	100003
GUT_GENOME149354_00426	100003
GUT_GENOME149526_00049	100003
GUT_GENOME149717_00047	100003
GUT_GENOME149717_01274	100003
GUT_GENOME150274_02425	100003
GUT_GENOME151379_01929	100003
GUT_GENOME151533_00781	100003
GUT_GENOME151659_00330	100003
GUT_GENOME151725_00536	100003
GUT_GENOME151822_00099	100003
GUT_GENOME151822_01026	100003
GUT_GENOME151822_01541	100003
GUT_GENOME151914_00383	100003
GUT_GENOME151914_00432	100003
GUT_GENOME153596_00113	100003
GUT_GENOME153596_01022	100003
GUT_GENOME153747_01191	100003
GUT_GENOME153747_01272	100003
GUT_GENOME153747_01654	100003
GUT_GENOME153966_00586	100003
GUT_GENOME153966_01286	100003
GUT_GENOME154480_00496	100003
GUT_GENOME154480_00970	100003
GUT_GENOME154480_01490	100003
GUT_GENOME154480_01572	100003
GUT_GENOME154535_01151	100003
GUT_GENOME154535_01154	100003
GUT_GENOME154709_01362	100003
GUT_GENOME154933_01751	100003
GUT_GENOME154958_00005	100003
GUT_GENOME154958_01509	100003
GUT_GENOME155251_01724	100003
GUT_GENOME155292_00577	100003
GUT_GENOME155301_02021	100003
GUT_GENOME155375_01007	100003
GUT_GENOME155444_00543	100003
GUT_GENOME155701_02035	100003
GUT_GENOME156154_00420	100003
GUT_GENOME156154_01629	100003
GUT_GENOME156652_00964	100003
GUT_GENOME156700_00032	100003
GUT_GENOME156700_01328	100003
GUT_GENOME157623_00394	100003
GUT_GENOME157871_00309	100003
GUT_GENOME157871_01148	100003
GUT_GENOME157955_01443	100003
GUT_GENOME159029_01262	100003
GUT_GENOME159149_00559	100003
GUT_GENOME159370_01998	100003
GUT_GENOME162694_01104	100003
GUT_GENOME164130_01324	100003
GUT_GENOME164307_00648	100003
GUT_GENOME164307_01619	100003
GUT_GENOME164307_01901	100003
GUT_GENOME164434_00669	100003
GUT_GENOME164802_00232	100003
GUT_GENOME164802_00682	100003
GUT_GENOME164802_00723	100003
GUT_GENOME164802_00863	100003
GUT_GENOME164802_00967	100003
GUT_GENOME164802_01368	100003
GUT_GENOME164856_00219	100003
GUT_GENOME164856_00252	100003
GUT_GENOME164856_00589	100003
GUT_GENOME164856_01073	100003
GUT_GENOME164897_00964	100003
GUT_GENOME164968_00529	100003
GUT_GENOME164968_00534	100003
GUT_GENOME164968_00945	100003
GUT_GENOME164968_01165	100003
GUT_GENOME164968_01480	100003
GUT_GENOME164968_01542	100003
GUT_GENOME165063_01077	100003
GUT_GENOME165063_01189	100003
GUT_GENOME165063_01533	100003
GUT_GENOME165082_00253	100003
GUT_GENOME165082_00389	100003
GUT_GENOME165082_00396	100003
GUT_GENOME165082_00498	100003
GUT_GENOME165082_00679	100003
GUT_GENOME165139_00243	100003
GUT_GENOME165139_00499	100003
GUT_GENOME165139_00777	100003
GUT_GENOME165139_00887	100003
GUT_GENOME165139_00978	100003
GUT_GENOME165411_00924	100003
GUT_GENOME165411_01560	100003
GUT_GENOME165460_00718	100003
GUT_GENOME165460_01662	100003
GUT_GENOME165531_00550	100003
GUT_GENOME165531_01053	100003
GUT_GENOME165531_01196	100003
GUT_GENOME165735_00789	100003
GUT_GENOME165810_00495	100003
GUT_GENOME165810_01063	100003
GUT_GENOME165810_01457	100003
GUT_GENOME165854_00056	100003
GUT_GENOME165854_00360	100003
GUT_GENOME165854_00377	100003
GUT_GENOME165854_00455	100003
GUT_GENOME165854_00666	100003
GUT_GENOME165854_00785	100003
GUT_GENOME165854_01003	100003
GUT_GENOME165854_01263	100003
GUT_GENOME166012_00722	100003
GUT_GENOME166012_01340	100003
GUT_GENOME166012_01345	100003
GUT_GENOME166012_01355	100003
GUT_GENOME166012_01358	100003
GUT_GENOME166012_01432	100003
GUT_GENOME166012_01445	100003
GUT_GENOME166041_00328	100003
GUT_GENOME166041_01145	100003
GUT_GENOME166041_01258	100003
GUT_GENOME170365_00440	100003
GUT_GENOME171594_00127	100003
GUT_GENOME171594_00172	100003
GUT_GENOME171604_00033	100003
GUT_GENOME171604_01188	100003
GUT_GENOME175794_01934	100003
GUT_GENOME175955_00387	100003
GUT_GENOME175955_00971	100003
GUT_GENOME175955_01281	100003
GUT_GENOME175955_01767	100003
GUT_GENOME178445_00022	100003
GUT_GENOME178445_01237	100003
GUT_GENOME179139_02008	100003
GUT_GENOME179249_00438	100003
